service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2773295,0,0,0,0,0,0,0,20190602,20190728
2773296,0,0,0,0,0,0,0,20190205,20190418
2773300,0,0,0,0,0,0,0,20190209,20190525
2773293,0,0,0,0,0,0,0,20190421,20190421
2773294,0,0,0,0,0,0,0,20190210,20190530
2773299,0,0,0,0,0,0,0,20190801,20190801
12773296,0,0,0,0,0,0,0,20190206,20190419
12773297,0,0,0,0,0,0,0,20190226,20190628
2773297,0,0,0,0,0,0,0,20190225,20190627
12773298,0,0,0,0,0,0,0,20190702,20190801
2773298,0,0,0,0,0,0,0,20190701,20190731
12773299,0,0,0,0,0,0,0,20190802,20190802
12773305,0,0,0,0,0,0,0,20190803,20190803
12773304,0,0,0,0,0,0,0,20190601,20190727
12773293,0,0,0,0,0,0,0,20190422,20190422
12773295,0,0,0,0,0,0,0,20190603,20190729
12773294,0,0,0,0,0,0,0,20190211,20190531
12773301,0,0,0,0,0,0,0,20190602,20190804
12773300,0,0,0,0,0,0,0,20190210,20190526
12773303,0,0,0,0,0,0,0,20190302,20190629
12773302,0,0,0,0,0,0,0,20190209,20190420
2773303,0,0,0,0,0,0,0,20190301,20190628
2773304,0,0,0,0,0,0,0,20190531,20190726
2773301,0,0,0,0,0,0,0,20190601,20190803
2773302,0,0,0,0,0,0,0,20190208,20190419
2773305,0,0,0,0,0,0,0,20190802,20190802
