service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2773425,0,0,0,0,0,0,0,20190122,20190429
2773424,0,0,0,0,0,0,0,20190127,20190530
12773431,0,0,0,0,0,0,0,20190216,20190629
12773429,0,0,0,0,0,0,0,20190127,20190526
12773430,0,0,0,0,0,0,0,20190126,20190501
2773429,0,0,0,0,0,0,0,20190126,20190525
12773427,0,0,0,0,0,0,0,20190702,20190719
12773432,0,0,0,0,0,0,0,20190601,20190720
12773428,0,0,0,0,0,0,0,20190602,20190721
2773428,0,0,0,0,0,0,0,20190601,20190720
12773425,0,0,0,0,0,0,0,20190123,20190430
2773427,0,0,0,0,0,0,0,20190701,20190718
12773426,0,0,0,0,0,0,0,20190212,20190628
2773426,0,0,0,0,0,0,0,20190211,20190627
12773424,0,0,0,0,0,0,0,20190128,20190531
2773592,0,0,0,0,0,0,0,20190602,20190707
12773592,0,0,0,0,0,0,0,20190603,20190708
2773381,0,0,0,0,0,0,0,20190126,20190720
1132941,0,0,0,0,0,0,0,20190122,20190719
2773431,0,0,0,0,0,0,0,20190215,20190628
2773432,0,0,0,0,0,0,0,20190531,20190719
2773430,0,0,0,0,0,0,0,20190125,20190430
