service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2773219,0,0,0,0,0,0,0,20190208,20190628
2773218,0,0,0,0,0,0,0,20190720,20190803
2773217,0,0,0,0,0,0,0,20190209,20190714
2773216,0,0,0,0,0,0,0,20190205,20190627
2773215,0,0,0,0,0,0,0,20190708,20190731
2773214,0,0,0,0,0,0,0,20190225,20190704
2773213,0,0,0,0,0,0,0,20190621,20190621
2773222,0,0,0,0,0,0,0,20190301,20190705
12773209,0,0,0,0,0,0,0,20190211,20190708
2773223,0,0,0,0,0,0,0,20190531,20190726
2773220,0,0,0,0,0,0,0,20190802,20190802
12773220,0,0,0,0,0,0,0,20190803,20190803
12773222,0,0,0,0,0,0,0,20190302,20190706
12773223,0,0,0,0,0,0,0,20190601,20190727
2773209,0,0,0,0,0,0,0,20190210,20190707
12773218,0,0,0,0,0,0,0,20190721,20190804
2773210,0,0,0,0,0,0,0,20190421,20190609
12773219,0,0,0,0,0,0,0,20190209,20190629
12773216,0,0,0,0,0,0,0,20190206,20190628
2773211,0,0,0,0,0,0,0,20190721,20190728
2773212,0,0,0,0,0,0,0,20190801,20190801
12773217,0,0,0,0,0,0,0,20190210,20190715
12773210,0,0,0,0,0,0,0,20190422,20190610
12773211,0,0,0,0,0,0,0,20190722,20190729
12773214,0,0,0,0,0,0,0,20190226,20190705
12773215,0,0,0,0,0,0,0,20190709,20190801
12773212,0,0,0,0,0,0,0,20190802,20190802
12773213,0,0,0,0,0,0,0,20190622,20190622
