service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2773259,0,0,0,0,0,0,0,20190210,20190530
2773258,0,0,0,0,0,0,0,20190602,20190728
12773259,0,0,0,0,0,0,0,20190211,20190531
12773258,0,0,0,0,0,0,0,20190603,20190729
2773267,0,0,0,0,0,0,0,20190601,20190803
2773266,0,0,0,0,0,0,0,20190209,20190525
2773265,0,0,0,0,0,0,0,20190225,20190627
2773264,0,0,0,0,0,0,0,20190701,20190731
12773271,0,0,0,0,0,0,0,20190302,20190629
2773263,0,0,0,0,0,0,0,20190801,20190801
2773262,0,0,0,0,0,0,0,20190205,20190418
12773270,0,0,0,0,0,0,0,20190601,20190727
2773261,0,0,0,0,0,0,0,20190421,20190421
2773260,0,0,0,0,0,0,0,20190609,20190609
2773268,0,0,0,0,0,0,0,20190802,20190802
2773269,0,0,0,0,0,0,0,20190208,20190419
12773269,0,0,0,0,0,0,0,20190209,20190420
12773268,0,0,0,0,0,0,0,20190803,20190803
12773267,0,0,0,0,0,0,0,20190602,20190804
12773266,0,0,0,0,0,0,0,20190210,20190526
12773265,0,0,0,0,0,0,0,20190226,20190628
12773264,0,0,0,0,0,0,0,20190702,20190801
12773263,0,0,0,0,0,0,0,20190802,20190802
12773261,0,0,0,0,0,0,0,20190422,20190422
12773262,0,0,0,0,0,0,0,20190206,20190419
12773260,0,0,0,0,0,0,0,20190610,20190610
2773270,0,0,0,0,0,0,0,20190531,20190726
2773271,0,0,0,0,0,0,0,20190301,20190628
