service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2773359,0,0,0,0,0,0,0,20190210,20190602
12773361,0,0,0,0,0,0,0,20190730,20190802
12773360,0,0,0,0,0,0,0,20190304,20190729
12773370,0,0,0,0,0,0,0,20190209,20190525
2773367,0,0,0,0,0,0,0,20190531,20190802
2773368,0,0,0,0,0,0,0,20190301,20190705
2773369,0,0,0,0,0,0,0,20190712,20190726
2773370,0,0,0,0,0,0,0,20190208,20190524
12773359,0,0,0,0,0,0,0,20190211,20190603
2773361,0,0,0,0,0,0,0,20190729,20190801
12773366,0,0,0,0,0,0,0,20190303,20190804
12773367,0,0,0,0,0,0,0,20190601,20190803
2773362,0,0,0,0,0,0,0,20190708,20190725
12773368,0,0,0,0,0,0,0,20190302,20190706
12773369,0,0,0,0,0,0,0,20190713,20190727
2773360,0,0,0,0,0,0,0,20190303,20190728
12773362,0,0,0,0,0,0,0,20190709,20190726
2773365,0,0,0,0,0,0,0,20190209,20190601
12773363,0,0,0,0,0,0,0,20190226,20190705
2773366,0,0,0,0,0,0,0,20190302,20190803
12773364,0,0,0,0,0,0,0,20190206,20190531
2773363,0,0,0,0,0,0,0,20190225,20190704
12773365,0,0,0,0,0,0,0,20190210,20190602
2773364,0,0,0,0,0,0,0,20190205,20190530
